Ensembl,Symbol,Disease_1,Disease_2,Disease_3
ENSG00000119203,CPSF3,58,38,62
ENSG00000134330,IAH1,168,134,167
ENSG00000151694,ADAM17,52,40,85
ENSG00000134308,YWHAQ,368,325,516
ENSG00000115750,TAF1B,9,8,23
ENSG00000134317,GRHL1,79,66,73
ENSG00000172059,KLF11,212,183,119
ENSG00000205795,CYS1,0,0,0
ENSG00000171848,RRM2,22,21,172
ENSG00000115756,HPCAL1,140,110,123
ENSG00000115758,ODC1,303,228,121
ENSG00000115761,NOL10,17,17,35
ENSG00000143882,ATP6V1C2,468,374,478
ENSG00000143870,PDIA6,877,697,620
ENSG00000162975,KCNF1,0,0,0
ENSG00000150873,C2orf50,8,3,4
ENSG00000162976,PQLC3,64,60,53
ENSG00000134318,ROCK2,170,139,175
ENSG00000169016,E2F6,34,24,57
ENSG00000196208,GREB1,19,22,87
ENSG00000134324,LPIN1,300,300,235
ENSG00000071575,TRIB2,74,55,5
ENSG00000162981,FAM84A,11,10,1
ENSG00000151779,NBAS,129,91,114
ENSG00000079785,DDX1,203,187,174
ENSG00000134323,MYCN,0,0,7
ENSG00000197872,FAM49A,67,44,5
ENSG00000214842,RAD51AP2,0,1,6
ENSG00000163032,VSNL1,62,70,47
ENSG00000163029,SMC6,207,161,101
ENSG00000178295,GEN1,104,88,91
ENSG00000170745,KCNS3,12,5,0
ENSG00000240857,RDH14,37,32,48
ENSG00000250741,NT5C1B-RDH14,11,8,10
ENSG00000185013,NT5C1B,4,3,7
ENSG00000143867,OSR1,0,0,0
ENSG00000183891,TTC32,19,20,15
ENSG00000118965,WDR35,8,3,12
ENSG00000132031,MATN3,0,0,5
ENSG00000068697,LAPTM4A,683,617,415
ENSG00000115884,SDC1,3723,3013,1556
ENSG00000055917,PUM2,251,208,154
ENSG00000143878,RHOB,1901,1617,842
ENSG00000118960,HS1BP3,95,71,72
ENSG00000143869,GDF7,109,98,24
ENSG00000118961,LDAH,23,20,28
ENSG00000084674,APOB,30962,25980,24916
ENSG00000218819,TDRD15,33,17,21
ENSG00000119771,KLHL29,11,3,31
ENSG00000119778,ATAD2B,72,74,94
ENSG00000173960,UBXN2A,93,92,121
ENSG00000205639,MFSD2B,38,35,151
ENSG00000163026,WDCP,4,4,14
ENSG00000119782,FKBP1B,66,42,212
ENSG00000115128,SF3B6,284,233,156
ENSG00000219626,FAM228B,124,131,142
ENSG00000115129,TP53I3,53,44,244
ENSG00000176732,PFN4,0,0,13
ENSG00000276087,AC008073.3,1,2,7
ENSG00000186453,FAM228A,0,0,0
